*SUMMARY : KSGC3038SN FINNEY COUNTY MODELING                                       DSSAT Cropping System Model Ver. 4.7.1.001 -release      JUL 23, 2019; 16:38:07

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................  WATER...............................................  NITROGEN............................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..........................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM N2OEC  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EC    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
     1972     68  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_8               FNYCO001 GRRD0901 KS00000005 2009061 2009130 2009139 2009208 2009292 2009292   -99   29314   17754   17754   11626 22862  0.3406    5213   685.9 0.606   4.2    15   375   474   781   490   290    12    50   227     1   250     0   404     1    36   320   266   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19769  19769      0      0  226123  226123     -99     93.3     44.5     59.8     78.2     56.5     26.9     36.2     47.3    117.3     72.6     71.0     43.9   162  28.3  12.5  26.5  13.5  380.0  314.1  659.4  169.2  490.1
     1973     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   31612   20151   20151   11533 25379  0.3514    5735   754.6 0.637   4.4    15   375   396   759   494   265     6    17   209     1   250     0   399     1    42   320   280   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19765  19765      0      0  226024  226024     -99    114.0     48.3     64.0     84.3     72.7     30.8     40.8     53.7    126.4     79.2     80.6     50.5   159  28.7  13.7  27.0  13.5  380.0  277.3  654.7  161.8  493.7
     1974     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8201 KS00000005 1982061 1982130 1982140 1982216 1982307 1982307   -99   29318   18479   18479   10905 23285  0.3389    5452   717.4 0.630   4.3    14   350   487   773   463   311    19    39   229     1   250     0   393     1    52   317   266   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19762  19762      0      0  225972  225972     -99     72.3     42.5     63.4     83.8     45.6     26.8     39.9     52.8    117.3     74.6     73.9     47.0   177  27.1  12.3  25.8  13.2  380.0  405.3  690.4  227.7  462.7
     1975     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8301 KS00000005 1983061 1983130 1983145 1983222 1983294 1983294   -99   20224   11121   11121    9179 13915  0.2918    3811   501.4 0.550   4.6    13   325   354   770   420   350     2    39    96     1   250     0   315     1    76   226   168   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226899  226899     -99     74.7     30.1     48.2     62.2     41.1     16.5     26.5     34.2     80.9     64.2     44.5     35.3   164  29.3  13.6  27.0  13.4  380.0  270.7  672.0  252.4  419.8
     1976     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8401 KS00000005 1984061 1984130 1984137 1984211 1984285 1984285   -99   24954   13745   13745   11281 18810  0.2487    5527   727.3 0.551   4.4    15   375   326   751   452   299     3    28   139     1   250     0   309     0    79   223   183   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19821  19821      0      0  226983  226983     -99    156.3     41.4     55.2     66.5     86.1     22.8     30.4     36.7     99.8     80.8     55.0     44.5   155  30.0  13.8  27.9  13.6  380.0  159.7  603.3  151.4  451.9
     1977     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8501 KS00000005 1985061 1985130 1985140 1985214 1985280 1985280   -99   27866   16494   16494   11442 21736  0.2879    5730   754.0 0.592   4.4    12   300   430   700   469   231    20    17   225     1   250     0   386     0    42   298   246   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19780  19780      0      0  226263  226263     -99     87.7     46.8     59.5     92.9     51.9     27.7     35.2     55.0    111.5     72.2     66.0     42.7   150  29.0  13.0  27.9  13.6  380.0  317.8  595.8  127.2  468.6
     1978     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8601 KS00000005 1986061 1986130 1986137 1986210 1986282 1986282   -99   30034   18834   18834   11270 23670  0.3260    5777   760.1 0.627   4.5    14   350   312   727   506   220     2     0   158     1   250     0   382     0    54   303   265   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19769  19769      0      0  226120  226120     -99    113.0     45.3     59.3     85.8     70.8     28.4     37.2     53.8    120.1     78.6     75.3     49.3   152  29.6  15.0  27.5  13.6  380.0  265.9  662.6  158.2  506.4
     1979     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8701 KS00000005 1987061 1987130 1987136 1987214 1987306 1987306   -99   29635   17726   17726   11991 22758  0.3214    5515   725.7 0.598   4.8    14   350   464   831   528   303    10    46   152     1   250     0   378     1    51   276   228   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19788  19788      0      0  226599  226599     -99     86.9     40.6     56.1     84.7     52.0     24.3     33.6     50.6    118.5     78.4     70.9     46.9   176  28.3  12.8  26.6  13.2  380.0  340.9  729.2  200.8  528.3
     1980     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8801 KS00000005 1988061 1988130 1988136 1988210 1988279 1988279   -99   24657   13430   13430   11301 16829  0.3018    4450   585.5 0.545   4.5    14   350   260   666   440   226     0     2   166     1   250     0   337     0    61   255   199   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19808  19808      0      0  226713  226713     -99    123.3     42.1     56.0     70.4     67.1     22.9     30.5     38.4     98.6     73.2     53.7     39.9   149  30.5  14.6  27.3  13.7  380.0  200.0  586.0  146.6  440.1
     1981     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD8901 KS00000005 1989061 1989130 1989140 1989216 1989298 1989298   -99   27822   16278   16278   11610 22278  0.3119    5219   686.8 0.585   4.1    14   350   469   767   452   314    14    39   224     1   250     0   390     2    46   306   252   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19770  19770      0      0  226120  226120     -99     65.6     40.0     61.5     79.5     38.4     23.4     36.0     46.5    111.3     71.3     65.1     41.7   168  27.0  12.2  26.2  13.4  380.0  423.9  696.2  243.8  452.4
     1982     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9001 KS00000005 1990061 1990130 1990139 1990216 1990294 1990294   -99   28276   15810   15810   12544 21685  0.2813    5619   739.4 0.559   4.7    16   400   365   811   524   286    12    40   119     1   250     0   343     1    64   243   205   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226836  226836     -99    119.4     41.2     53.9     70.7     66.7     23.1     30.1     39.5    113.1     82.4     63.2     46.1   164  29.4  13.3  27.4  13.4  380.0  236.9  685.9  161.5  524.5
     1983     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   29916   18342   18342   11645 23775  0.3227    5683   747.8 0.613   4.4    13   325   422   762   508   254    20    39   154     1   250     0   372     2    51   290   253   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19781  19781      0      0  226260  226260     -99     84.9     44.5     58.9     92.0     52.1     27.3     36.1     56.4    119.7     80.4     73.4     49.3   147  30.4  15.3  28.1  13.7  380.0  352.2  672.9  166.7  507.8
     1984     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9201 KS00000005 1992061 1992130 1992137 1992223 1992316 1992316   -99   28969   16535   16535   12509 22841  0.3156    5239   689.4 0.571   4.6    13   325   422   751   471   280    11     0   213     1   250     0   412     0    47   316   251   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19757  19757      0      0  226038  226038     -99     72.5     41.6     61.5     89.1     41.4     23.8     35.1     50.9    115.9     70.3     66.1     40.1   186  25.7  11.3  25.2  13.1  380.0  399.4  695.6  224.7  471.0
     1985     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9301 KS00000005 1993061 1993130 1993139 1993214 1993309 1993309   -99   29957   18098   18098   11932 23872  0.3343    5414   712.3 0.604   4.5    13   325   511   796   493   303    13    25   230     1   250     0   403     0    38   315   255   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19775  19775      0      0  226212  226212     -99     75.8     43.7     60.8     92.2     45.8     26.4     36.7     55.7    119.8     74.3     72.4     44.9   179  26.8  11.9  26.0  13.2  380.0  395.0  685.2  192.6  492.6
     1986     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   31235   18858   18858   12452 24818  0.3320    5680   747.4 0.604   4.6    15   375   432   809   547   262     4    12   202     1   250     0   392     0    52   297   256   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19767  19767      0      0  226079  226079     -99     87.0     43.3     57.1     83.3     52.5     26.1     34.5     50.3    124.9     79.7     75.4     48.1   159  30.1  13.5  27.8  13.5  380.0  359.1  722.2  176.1  547.2
     1987     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   23262   12099   12099   11237 16843  0.2215    5462   718.6 0.520   4.6    14   350   521   787   432   355    15   104   188     1   250     0   345     4    82   262   194   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19774  19774      0      0  226171  226171     -99     59.6     33.2     53.8     66.5     31.0     17.3     28.0     34.6     93.0     67.4     48.4     35.1   175  27.9  11.5  25.7  13.2  380.0  390.5  699.9  267.6  432.2
     1988     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9601 KS00000005 1996061 1996130 1996138 1996212 1996301 1996301   -99   31610   19645   19645   12040 25451  0.3596    5463   718.8 0.621   4.5    11   275   457   723   495   228     9    10   225     1   250     0   417     1    35   331   278   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19760  19760      0      0  225999  225999     -99     75.3     48.1     63.9    114.9     46.8     29.9     39.7     71.4    126.4     75.8     78.6     47.1   171  27.8  12.4  26.2  13.3  380.0  420.0  657.9  163.2  494.7
     1989     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9701 KS00000005 1997061 1997130 1997138 1997213 1997283 1997283   -99   27779   15239   15239   12611 20551  0.3127    4873   641.2 0.549   4.5    11   275   513   740   494   246    35    69   179     1   250     0   372     6    55   285   237   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19772  19772      0      0  226139  226139     -99     59.8     41.3     56.3    101.0     32.8     22.6     30.9     55.4    111.1     74.7     61.0     41.0   153  29.4  14.6  27.2  13.6  380.0  464.3  673.1  181.6  493.5
     1990     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9801 KS00000005 1998061 1998130 1998137 1998200 1998259 1998259   -99   25805   14366   14366   11496 19131  0.2732    5258   691.8 0.557   3.6    10   250   420   701   445   256     8    15   184     1   250     0   360     0    56   295   243   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19781  19781      0      0  226156  226156     -99     86.3     43.1     57.9    103.2     48.0     24.0     32.3     57.5    103.2     71.7     57.5     39.9   129  32.0  15.5  29.5  13.9  380.0  299.0  598.4  155.5  445.3
     1991     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD9901 KS00000005 1999061 1999130 1999139 1999211 1999288 1999288   -99   26588   15599   15599   11061 20638  0.3087    5053   664.9 0.587   4.4    12   300   516   802   475   326    17    49   180     1   250     0   353     3    64   269   226   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19787  19787      0      0  226390  226390     -99     68.9     39.6     55.9     88.6     40.4     23.2     32.8     52.0    106.4     75.3     62.4     44.2   158  29.0  13.7  27.0  13.5  380.0  385.9  671.9  196.7  475.4
     1992     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0001 KS00000005 2000061 2000130 2000137 2000209 2000266 2000266   -99   26195   13338   13338   12931 18699  0.2260    5901   776.4 0.509   4.5    13   325   349   731   493   238     4    70    97     1   250     0   332     1    75   248   204   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19794  19794      0      0  226506  226506     -99    161.9     43.6     53.1     80.6     82.4     22.2     27.0     41.0    104.8     78.9     53.4     40.2   136  32.9  15.4  29.0  13.8  380.0  161.8  601.2  110.5  493.5
     1993     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0101 KS00000005 2001061 2001130 2001136 2001208 2001272 2001272   -99   25325   14356   14356   11042 18884  0.2563    5600   736.9 0.567   4.5    13   325   470   801   501   301    22   105    94     1   250     0   282     6   109   213   177   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19804  19804      0      0  226638  226638     -99     70.2     36.4     50.6     77.9     39.8     20.7     28.7     44.2    101.3     89.8     57.4     50.9   142  31.9  15.2  28.8  13.8  380.0  360.7  694.9  196.5  500.7
     1994     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0201 KS00000005 2002061 2002130 2002139 2002208 2002275 2002275   -99   27257   15939   15939   11392 20614  0.2746    5805   763.9 0.585   4.7    14   350   239   683   506   177     0     0   130     1   250     0   329     0    76   247   211   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226656  226656     -99    144.4     43.9     53.9     77.9     84.4     25.7     31.5     45.5    109.0     82.8     63.8     48.4   145  31.4  15.3  28.2  13.7  380.0  188.8  621.4  117.8  505.6
     1995     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0301 KS00000005 2003061 2003130 2003138 2003210 2003283 2003283   -99   25211   15522   15522    9756 19269  0.3223    4815   633.6 0.616   4.2    13   325   382   768   473   295     5    33   129     1   250     0   332     1    72   252   215   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19799  19799      0      0  226598  226598     -99     90.9     37.8     53.3     77.6     55.9     23.3     32.8     47.8    100.8     75.9     62.1     46.8   153  30.2  14.1  27.7  13.6  380.0  277.5  667.3  196.2  472.6
     1996     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0401 KS00000005 2004061 2004130 2004139 2004216 2004307 2004307   -99   31844   19473   19473   12446 25356  0.3484    5589   735.4 0.612   4.6    10   250   576   771   524   247    20    48   227     1   250     0   425     2    40   325   269   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19750  19750      0      0  225918  225918     -99     68.0     47.4     60.8    127.4     41.6     29.0     37.2     77.9    127.4     74.9     77.9     45.8   177  28.1  12.4  26.2  13.2  380.0  468.4  672.0  148.5  523.6
     1997     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0501 KS00000005 2005061 2005130 2005138 2005207 2005271 2005271   -99   27948   15684   15684   12337 20966  0.2937    5341   702.7 0.561   4.4    12   300   344   738   504   233     4     5   129     1   250     0   351     0    65   270   228   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19787  19787      0      0  226391  226391     -99     93.2     42.0     55.4     93.2     52.3     23.5     31.1     52.3    111.8     79.6     62.7     44.7   141  31.6  15.0  28.8  13.8  380.0  299.8  666.1  164.2  504.3
     1998     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0601 KS00000005 2006061 2006130 2006139 2006207 2006277 2006277   -99   29581   18406   18406   11253 22595  0.3276    5619   739.3 0.622   4.7    12   300   386   769   542   227     4     0   145     1   250     0   389     0    52   299   257   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19767  19767      0      0  226130  226130     -99     97.1     43.8     54.6     98.6     60.4     27.2     34.0     61.4    118.3     76.0     73.6     47.3   147  31.5  14.9  28.3  13.7  380.0  304.8  675.5  136.3  541.8
     1999     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0701 KS00000005 2007061 2007130 2007137 2007210 2007270 2007270   -99   24433   12964   12964   11537 17384  0.2423    5350   704.0 0.531   4.3    12   300   367   733   484   249     3    14   149     1   250     0   331     0    76   243   196   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19797  19797      0      0  226540  226540     -99     98.0     40.2     50.5     81.4     52.0     21.3     26.8     43.2     97.7     73.8     51.9     39.2   140  31.5  15.4  28.9  13.8  380.0  249.3  608.2  126.7  484.2
     2000     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0801 KS00000005 2008061 2008130 2008140 2008210 2008285 2008285   -99   27778   17226   17226   10624 21482  0.3251    5299   697.3 0.620   4.5    14   350   296   743   515   228     2     0   125     1   250     0   352     0    61   263   227   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19796  19796      0      0  226606  226606     -99    131.2     42.3     53.9     79.4     81.3     26.2     33.5     49.2    111.1     78.9     68.9     48.9   155  30.2  13.9  27.7  13.6  380.0  211.8  656.9  143.7  514.9
     2001     69  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_6               FNYCO001 GRRD0901 KS00000005 2009061 2009130 2009139 2009208 2009292 2009292   -99   28567   17592   17592   11041 22699  0.3375    5213   685.9 0.616   4.2    14   350   474   783   488   295    12    50   203     1   250     0   381     1    42   298   249   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19785  19785      0      0  226392  226392     -99     90.9     43.2     58.5     81.6     56.0     26.6     36.0     50.3    114.3     75.0     70.4     46.2   162  28.3  12.5  26.5  13.5  380.0  314.1  660.5  172.2  488.4
     2002     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   30754   19293   19293   11533 24521  0.3364    5735   754.6 0.627   4.4    12   300   396   757   491   266     2    17   152     1   250     0   377     1    50   298   260   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19779  19779      0      0  226295  226295     -99    110.9     47.1     62.6    102.5     69.6     29.6     39.3     64.3    123.0     81.6     77.2     51.2   159  28.7  13.7  27.0  13.5  380.0  277.3  652.4  162.2  491.0
     2003     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8201 KS00000005 1982061 1982130 1982140 1982216 1982307 1982307   -99   28759   17913   17913   10912 22718  0.3285    5452   717.4 0.623   4.3    11   275   487   764   461   302    14    39   180     1   250     0   376     1    56   299   252   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19774  19774      0      0  226221  226221     -99     71.0     42.2     62.4    104.6     44.2     26.3     38.8     65.1    115.0     76.5     71.7     47.6   177  27.1  12.3  25.8  13.2  380.0  405.3  681.2  220.0  461.2
     2004     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8301 KS00000005 1983061 1983130 1983145 1983222 1983294 1983294   -99   17065    8714    8714    8424 10665  0.3018    2887   379.9 0.511   4.3    11   275   354   748   400   348     2    39    75     1   250     0   279     1   105   188   138   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19819  19819      0      0  226956  226956     -99     63.0     26.3     42.7     62.1     32.2     13.4     21.8     31.7     68.3     61.2     34.9     31.2   164  29.3  13.6  27.0  13.4  380.0  270.7  650.0  250.4  399.8
     2005     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8401 KS00000005 1984061 1984130 1984137 1984211 1984285 1984285   -99   21804   11586   11586   10287 15986  0.2187    5298   697.1 0.531   4.2    12   300   326   700   395   305     2    28   127     1   250     0   282     0    99   198   163   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19826  19826      0      0  227046  227046     -99    136.5     39.5     55.2     72.7     72.5     21.0     29.4     38.6     87.2     77.3     46.3     41.1   155  30.0  13.8  27.9  13.6  380.0  159.7  552.4  157.7  394.7
     2006     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8501 KS00000005 1985061 1985130 1985140 1985214 1985280 1985280   -99   27118   15934   15934   11252 21156  0.2790    5711   751.4 0.588   4.3    11   275   430   703   465   238    19    17   202     1   250     0   368     0    50   281   229   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19791  19791      0      0  226471  226471     -99     85.3     45.5     58.4     98.6     50.1     26.7     34.3     57.9    108.5     73.7     63.7     43.3   150  29.0  13.0  27.9  13.6  380.0  317.8  596.4  131.8  464.6
     2007     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8601 KS00000005 1986061 1986130 1986137 1986210 1986282 1986282   -99   29081   17881   17881   11270 22717  0.3095    5777   760.1 0.615   4.5    11   275   312   718   496   222     2     0   102     1   250     0   354     0    67   277   243   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19782  19782      0      0  226402  226402     -99    109.4     44.5     58.6    105.7     67.2     27.3     36.1     65.0    116.3     82.1     71.5     50.5   152  29.6  15.0  27.5  13.6  380.0  265.9  654.2  160.2  495.9
     2008     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8701 KS00000005 1987061 1987130 1987136 1987214 1987306 1987306   -99   28294   16384   16384   11991 21417  0.2971    5515   725.7 0.579   4.8    11   275   464   818   520   299    10    46   100     1   250     0   347     1    72   244   205   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19798  19798      0      0  226843  226843     -99     83.0     39.5     54.4    102.9     48.1     22.9     31.5     59.6    113.2     81.5     65.5     47.2   176  28.3  12.8  26.6  13.2  380.0  340.9  717.0  197.2  519.8
     2009     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8801 KS00000005 1988061 1988130 1988136 1988210 1988279 1988279   -99   18820    8954    8954    9937 11389  0.2873    3117   410.1 0.476   4.3    11   275   260   626   389   236     0     2   142     1   250     0   305     0    88   227   156   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226646  226646     -99     94.1     34.5     48.4     68.4     44.8     16.4     23.0     32.6     75.3     61.7     35.8     29.4   149  30.5  14.6  27.3  13.7  380.0  200.0  545.9  157.5  389.2
     2010     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD8901 KS00000005 1989061 1989130 1989140 1989216 1989298 1989298   -99   27399   15855   15855   11610 21855  0.3038    5219   686.8 0.579   4.1    11   275   469   755   451   304    13    39   172     1   250     0   374     2    50   289   239   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19782  19782      0      0  226367  226367     -99     64.6     40.0     60.7     99.6     37.4     23.1     35.2     57.7    109.6     73.3     63.4     42.4   168  27.0  12.2  26.2  13.4  380.0  423.9  685.1  234.1  451.0
     2011     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD9001 KS00000005 1990061 1990130 1990139 1990216 1990294 1990294   -99   25908   14111   14111   11871 19906  0.2538    5560   731.6 0.545   4.4    13   325   365   766   477   290    13    40    99     1   250     0   313     1    85   218   183   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19813  19813      0      0  226990  226990     -99    109.4     40.4     54.4     79.7     59.6     22.0     29.6     43.4    103.6     82.8     56.4     45.1   164  29.4  13.3  27.4  13.4  380.0  236.9  641.5  165.0  476.5
     2012     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   29168   17648   17648   11592 23060  0.3105    5683   747.8 0.605   4.4    11   275   422   758   506   252    17    39   118     1   250     0   351     2    60   269   235   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19793  19793      0      0  226514  226514     -99     82.8     43.6     57.6    106.1     50.1     26.4     34.9     64.2    116.7     83.1     70.6     50.3   147  30.4  15.3  28.1  13.7  380.0  352.2  669.0  164.4  506.1
     2013     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD9201 KS00000005 1992061 1992130 1992137 1992223 1992316 1992316   -99   28969   16535   16535   12509 22841  0.3156    5239   689.4 0.571   4.6    12   300   422   748   471   277    10     0   195     1   250     0   410     0    45   315   249   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19761  19761      0      0  226131  226131     -99     72.5     41.8     61.5     96.6     41.4     23.9     35.1     55.1    115.9     70.7     66.1     40.3   186  25.7  11.3  25.2  13.1  380.0  399.4  692.9  222.0  470.9
     2014     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD9301 KS00000005 1993061 1993130 1993139 1993214 1993309 1993309   -99   29533   17674   17674   11932 23449  0.3265    5414   712.3 0.598   4.5    13   325   511   800   491   309    12    25   228     1   250     0   385     0    43   298   239   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19789  19789      0      0  226464  226464     -99     74.8     42.9     60.2     90.9     44.7     25.7     36.0     54.4    118.1     76.7     70.7     45.9   179  26.8  11.9  26.0  13.2  380.0  395.0  687.6  197.1  490.6
     2015     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   30235   17857   17857   12452 23817  0.3144    5680   747.4 0.591   4.6    12   300   432   806   542   264     6    12   140     1   250     0   364     0    62   270   232   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19785  19785      0      0  226449  226449     -99     84.2     42.0     55.7    100.8     49.7     24.8     32.9     59.5    120.9     83.1     71.4     49.1   159  30.1  13.5  27.8  13.5  380.0  359.1  719.2  177.9  542.3
     2016     70  1  1  0 MZ MZCER047 KSGC3038 75%_IFREQ_10              FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   22941   11778   11778   11237 16521  0.2157    5462   718.6 0.513   4.6    12   300   521   774   427   347    14   104   160     1   250     0   325     4    91   242   177   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19788  19788      0      0  226482  226482     -99     58.7     33.5     53.7     76.5     30.2     17.2     27.6     39.3     91.8     70.6     47.1     36.2   175  27.9  11.5  25.7  13.2  380.0  390.5  685.6  258.4  427.2
