Well_ID,Soil_Type
27090,KSFC000007
27094,KSFC000006
27228,KSFC000006
27340,KSFC000006
27340,KSFC000006
27340,KSFC000006
27431,KSFC000004
27470,KSFC000004
27495,KSFC000003
27555,KSFC000003
27620,KSFC000007
27659,KSFC000005
27659,KSFC000005
27670,KSFC000007
27692,KSFC000004
27718,KSFC000002
27718,KSFC000002
27753,KSFC000002
27760,KSFC000001
27760,KSFC000001
27760,KSFC000001
27766,KSFC000001
27821,KSFC000005
27863,KSFC000007
27918,KSFC000004
27925,KSFC000006
27959,KSFC000004
27959,KSFC000004
27970,KSFC000005
27970,KSFC000005
28015,KSFC000004
28015,KSFC000004
28056,KSFC000007
28065,KSFC000001
28133,KSFC000007
28188,KSFC000002
28207,KSFC000001
28232,KSFC000004
28260,KSFC000004
28260,KSFC000003
28260,KSFC000006
28260,KSFC000004
28381,KSFC000007
28386,KSFC000007
28505,KSFC000004
28650,KSFC000004
28697,KSFC000004
28719,KSFC000006
28725,KSFC000005
28725,KSFC000007
28725,KSFC000003
28779,KSFC000003
28787,KSFC000007
28787,KSFC000007
28835,KSFC000007
28885,KSFC000004
28904,KSFC000004
28918,KSFC000001
29000,KSFC000001
29009,KSFC000006
29033,KSFC000007
29169,KSFC000004
29169,KSFC000006
29174,KSFC000003
29200,KSFC000007
29299,KSFC000007
29350,KSFC000007
29457,KSFC000006
29490,KSFC000005
29546,KSFC000004
29603,KSFC000007
29695,KSFC000007
29767,KSFC000007
29789,KSFC000006
29813,KSFC000003
29851,KSFC000007
29890,KSFC000002
29967,KSFC000004
29967,KSFC000004
29967,KSFC000004
30009,KSFC000004
30048,KSFC000006
30115,KSFC000007
30130,KSFC000007
30149,KSFC000007
30152,KSFC000007
30169,KSFC000001
30169,KSFC000001
30169,KSFC000001
30198,KSFC000006
30198,KSFC000001
30198,KSFC000001
30207,KSFC000007
30254,KSFC000006
30254,KSFC000002
30255,KSFC000006
30255,KSFC000006
30288,KSFC000004
30301,KSFC000004
30383,KSFC000004
30429,KSFC000007
30442,KSFC000005
30494,KSFC000004
30534,KSFC000004
30603,KSFC000006
30647,KSFC000002
30655,KSFC000007
30656,KSFC000007
30675,KSFC000004
30685,KSFC000001
30766,KSFC000002
30766,KSFC000002
30771,KSFC000002
30781,KSFC000004
30857,KSFC000005
30947,KSFC000004
30951,KSFC000004
30952,KSFC000004
30994,KSFC000004
30994,KSFC000004
31012,KSFC000007
31037,KSFC000006
31069,KSFC000003
31130,KSFC000006
31131,KSFC000004
31131,KSFC000006
31380,KSFC000007
31388,KSFC000007
31388,KSFC000007
31388,KSFC000007
31388,KSFC000007
31613,KSFC000004
31670,KSFC000003
31691,KSFC000001
31691,KSFC000001
31748,KSFC000001
31800,KSFC000005
31859,KSFC000004
31865,KSFC000006
31879,KSFC000004
31911,KSFC000003
31911,KSFC000003
31922,KSFC000002
31922,KSFC000002
31931,KSFC000007
31999,KSFC000001
